,ENTROPY,CRITIC,GINI,MEREC,STAT_VAR,IDOCRIW,ANGLE,COEFF_VAR
$A_{1}$,0.743499668648599,0.6050650887833832,0.7224815214543515,0.6743082873926928,0.6217679338062961,0.7020986017458903,0.7224179407229213,0.7232315327862232
$A_{2}$,0.5793044738671203,0.6213518172334354,0.6114325041419273,0.6248679645418523,0.6187509413763724,0.62974237642901,0.60962083901131,0.6077511859629693
$A_{3}$,0.4983613721574158,0.41856000411590577,0.46920384129293174,0.49159766922397174,0.4112046948229218,0.5204601195578406,0.4557472077721168,0.4638619732221518
$A_{4}$,0.4891810418108927,0.5692832070239509,0.470573660019651,0.5336736870464107,0.4846814108548179,0.5666578029530749,0.4519352740421182,0.461686179591886
$A_{5}$,0.4559068280882066,0.42519263818484077,0.4278761623345944,0.48313554598050384,0.4131190024393986,0.501265041463892,0.4093910159818045,0.4196230555060305
$A_{6}$,0.4393093127072932,0.47550811146385363,0.40723266409646,0.45880541168573896,0.41981844679767305,0.51830414153976,0.38513686546163833,0.3983029429329739
$A_{7}$,0.32820377336429013,0.30331517352599174,0.3358279640270686,0.377572432720082,0.3449560454500133,0.3385555301599041,0.3282464344344164,0.32880373898273935
$A_{8}$,0.28461230379482083,0.3333966827569242,0.3238839841849936,0.3273949774884483,0.4340346889858345,0.30380944061092535,0.32529025282706714,0.32009108785336005
$A_{9}$,0.6059509627725715,0.6325215415110969,0.6217353720180088,0.6098797302947748,0.6289590760787568,0.5739516382171332,0.632737684530339,0.6254995678413329
$A_{10}$,0.4227501219976588,0.5277435782973594,0.40956818799272005,0.46552843839067476,0.4493285776743197,0.5178995586658716,0.39203919486195504,0.4016765032404047
$A_{11}$,0.5201810757996451,0.48911572542909476,0.5349954637498368,0.5008968618017309,0.5533370584535765,0.4500720972292329,0.5511829954481742,0.5416978857349536
$A_{12}$,0.4187795267828964,0.5612277107887069,0.4080899292712249,0.462798389632874,0.47077339365394133,0.5298970865160084,0.3884724863446017,0.3975568603517434
